jp	reading	display	verb_class	transitivity	pair	frame	ko	en	id	example_jp	example_ko	theme
壊れる	こわれる	壊(こわ)れる	一段(いちだん)	自動詞(じどうし)	壊(こわ)す	Nが壊(こわ)れる	고장 나다; 부서지다	to break; become broken	rusak	機械(きかい)が壊(こわ)れる。	기계가 고장 난다.	pair_break
汚す	よごす	汚(よご)す	五段(ごだん)	他動詞(たどうし)	汚(よご)れる	Nを汚(よご)す	더럽히다	to make dirty	mengotori	服(ふく)を汚(よご)す。	옷을 더럽히다.	pair_dirty
汚れる	よごれる	汚(よご)れる	一段(いちだん)	自動詞(じどうし)	汚(よご)す	Nが汚(よご)れる	더러워지다	to become dirty	menjadi kotor	服(ふく)が汚(よご)れる。	옷이 더러워진다.	pair_dirty
直す	なおす	直(なお)す	五段(ごだん)	他動詞(たどうし)	直(なお)る	Nを直(なお)す	고치다	to fix; correct something	memperbaiki; mengoreksi	間違(まちが)いを直(なお)す。	실수를 고치다.	pair_fix
直る	なおる	直(なお)る	五段(ごだん)	自動詞(じどうし)	直(なお)す	Nが直(なお)る	고쳐지다; 낫다	to be fixed; recover	menjadi baik; sembuh	時計(とけい)が直(なお)る。	시계가 고쳐진다.	pair_fix
届ける	とどける	届(とど)ける	一段(いちだん)	他動詞(たどうし)	届(とど)く	Nを人(ひと)／場所(ばしょ)に届(とど)ける	배달하다; 전달하다	to deliver something	mengantarkan	荷物(にもつ)を家(いえ)に届(とど)ける。	짐을 집에 배달하다.	pair_deliver
届く	とどく	届(とど)く	五段(ごだん)	自動詞(じどうし)	届(とど)ける	Nが人(ひと)／場所(ばしょ)に届(とど)く	도착하다; 전달되다	to arrive; be delivered	sampai; terkirim	荷物(にもつ)が家(いえ)に届(とど)く。	짐이 집에 도착하다.	pair_deliver
調べる	しらべる	調(しら)べる	一段(いちだん)	他動詞(たどうし)	—	Nを調(しら)べる	알아보다; 조사하다	to investigate; look up	mencari tahu; memeriksa	言葉(ことば)の意味(いみ)を調(しら)べる。	단어의 뜻을 알아보다.	core_verb
比べる	くらべる	比(くら)べる	一段(いちだん)	他動詞(たどうし)	—	AとBを比(くら)べる	비교하다	to compare	membandingkan	二(ふた)つの方法(ほうほう)を比(くら)べる。	두 가지 방법을 비교하다.	core_verb
選ぶ	えらぶ	選(えら)ぶ	五段(ごだん)	他動詞(たどうし)	—	Nを選(えら)ぶ	고르다; 선택하다	to choose; select	memilih	正(ただ)しい答(こた)えを選(えら)ぶ。	정답을 고르다.	core_verb
伝える	つたえる	伝(つた)える	一段(いちだん)	他動詞(たどうし)	—	内容(ないよう)を人(ひと)に伝(つた)える	전하다; 전달하다	to convey; tell	menyampaikan	予定(よてい)を友達(ともだち)に伝(つた)える。	일정을 친구에게 전하다.	core_verb
尋ねる	たずねる	尋(たず)ねる	一段(いちだん)	他動詞(たどうし)	—	人(ひと)にNを尋(たず)ねる	묻다; 여쭙다	to ask; inquire	bertanya	先生(せんせい)に意味(いみ)を尋(たず)ねる。	선생님께 뜻을 묻다.	core_verb
断る	ことわる	断(ことわ)る	五段(ごだん)	他動詞(たどうし)	—	Nを断(ことわ)る	거절하다	to refuse; decline	menolak	誘(さそ)いを断(ことわ)る。	초대를 거절하다.	core_verb
間に合う	まにあう	間(ま)に合(あ)う	五段(ごだん)	自動詞(じどうし)	—	Nに間(ま)に合(あ)う	제시간에 맞다; 늦지 않다	to be in time	tepat waktu; sempat	試験(しけん)に間(ま)に合(あ)う。	시험에 늦지 않다.	core_verb
気づく	きづく	気(き)づく	五段(ごだん)	自動詞(じどうし)	—	Nに気(き)づく	깨닫다; 알아차리다	to notice; realize	menyadari	間違(まちが)いに気(き)づく。	실수를 알아차리다.	core_verb
慣れる	なれる	慣(な)れる	一段(いちだん)	自動詞(じどうし)	—	Nに慣(な)れる	익숙해지다	to get used to	terbiasa dengan	日本(にほん)の生活(せいかつ)に慣(な)れる。	일본 생활에 익숙해지다.	core_verb
似る	にる	似(に)る	一段(いちだん)	自動詞(じどうし)	—	Nに似(に)ている	닮다	to resemble	mirip dengan	母(はは)に似(に)ている。	어머니를 닮았다.	core_verb
役立つ	やくだつ	役立(やくだ)つ	五段(ごだん)	自動詞(じどうし)	—	Nに役立(やくだ)つ	도움이 되다	to be useful; help	berguna untuk	仕事(しごと)に役立(やくだ)つ。	일에 도움이 되다.	core_verb
支払う	しはらう	支払(しはら)う	五段(ごだん)	他動詞(たどうし)	—	Nを支払(しはら)う	지불하다	to pay	membayar	料金(りょうきん)を支払(しはら)う。	요금을 지불하다.	core_verb
受け取る	うけとる	受(う)け取(と)る	五段(ごだん)	他動詞(たどうし)	—	Nを受(う)け取(と)る	받다; 수령하다	to receive; accept	menerima	荷物(にもつ)を受(う)け取(と)る。	짐을 받다.	core_verb
過ごす	すごす	過(す)ごす	五段(ごだん)	他動詞(たどうし)	—	時間(じかん)を過(す)ごす	보내다	to spend time	menghabiskan waktu	家族(かぞく)と休日(きゅうじつ)を過(す)ごす。	가족과 휴일을 보내다.	core_verb
進む	すすむ	進(すす)む	五段(ごだん)	自動詞(じどうし)	進(すす)める	Nが／方向(ほうこう)へ進(すす)む	나아가다; 진행되다	to advance; proceed	maju; berlangsung	計画(けいかく)が順調(じゅんちょう)に進(すす)む。	계획이 순조롭게 진행된다.	core_verb
戻る	もどる	戻(もど)る	五段(ごだん)	自動詞(じどうし)	戻(もど)す	場所(ばしょ)に／へ戻(もど)る	돌아가다; 돌아오다	to return	kembali	会社(かいしゃ)に戻(もど)る。	회사로 돌아가다.	core_verb
迎える	むかえる	迎(むか)える	一段(いちだん)	他動詞(たどうし)	—	人(ひと)を迎(むか)える	맞이하다; 마중하다	to welcome; meet	menyambut; menjemput	駅(えき)で友達(ともだち)を迎(むか)える。	역에서 친구를 마중하다.	core_verb
守る	まもる	守(まも)る	五段(ごだん)	他動詞(たどうし)	—	Nを守(まも)る	지키다	to protect; obey	menjaga; menaati	約束(やくそく)を守(まも)る。	약속을 지키다.	core_verb
避ける	さける	避(さ)ける	一段(いちだん)	他動詞(たどうし)	—	Nを避(さ)ける	피하다	to avoid	menghindari	危険(きけん)を避(さ)ける。	위험을 피하다.	core_verb
認める	みとめる	認(みと)める	一段(いちだん)	他動詞(たどうし)	—	Nを認(みと)める	인정하다	to recognize; admit	mengakui	自分(じぶん)の間違(まちが)いを認(みと)める。	자신의 실수를 인정하다.	core_verb
